käsi	kääs
ette	`ette
advokaat	ahugat'
võtma	`võt'tis
neli+kümmend+tuhat	neli+gümmend+tuhat
jah	jahh
kohus	kohoss
käima	käiss
siin	siin
maa	maal
kohtunik	`kohtunikkud
kolm	kolm
kohtunik	`kohtunikku
olema	ol'i
maa	maa
linn	linna
kohtunik	`kohtunik
maa	maa
kohtunik	`kohtunikke
olema	ol'i
kaks	kaks
tükk	`tükki
noh	nohh
et	et
koht	`kohta
et	et
õde	õed
käima	käesid
et	et
isa	isä
ei	eij
olema	ole
tegema	tehnud
õigus	`õigust
nemad	neile
vähe	vähä
tegema	tehnud
mina	maa
koht	kuha
rentima	`ren'ttisin
võtma	võt't
neli+tuhat	nel'i+tuhat
kohe	kuhe
võlg	`võlga
selg	`sel'ga
üks	öhe
kord	kõrraga
siis	s
andma	`an'dis
talu	talu
ka	kaa
kohe	kuhe
mina	minu
kätte	`kätte
ja	ja
ja	ja
siis	ss
tegema	tegi
teine	teestele
muidugi	muedugi
ka	ka
see	selle
testament	tõstamen'di
et	et
iga+üks	egä+öhele
nii+viisi	nii+visi
kõige	kõege
rohkem	`rohkem
olema	ol'i
vend	vennal
kaheksa+sada	kahessa+sada
ja	ja
ja	ja
siis	siss
üks	üks
hobune	obene
kah	kahh
üks	ks
täkk	täkk
olema	ol'i
täkk	täkk
kah	kahh
kes	kis
see	si
eks	eks
tema	ta
kasvatama	kasvattas
ikka	`ikke
mina	mu
isa	isäl
olema	ol'i
viis	viis'
hobune	obest
mina	mina
müüma	müisin
hobune	obeset
maha	maha
ei	ei
pidama	pidand
rohkem	`rohkem
kui	ku
kaks	kaks
hakkama	akkassin
kari	karjaga
jälle	jälle
õiendama	õijendama
iga+üks	egä+öhel
oma	oma
sehvt	seht
müüma	müisin
kohe	kuhe
kaks	kaks
olema	ol'in
küll	küll
aga	aga
mina	mina
olema	ol'in
sõja+vägi	`sõa+vä
tööstus	`tüüstuses
kaks	kaks
aasta	`aastad
nii	nii
kaua	kava
kui	ku
sõda	sõda
lõppema	`lõppes
siis	s
laskma	`las'ti
lahti	`lahti
mina	mina
sõja+vägi	sõa+vääst
või	või
teenistus	teenistuses
ei	eij
olema	olnud
olema	olnud
mina	mull
teine	teene
kõrv	kõrv
olema	ol'i
rikkis	`rikkes
ja	ja
siis	sis
saama	sain
teine	teese
ja	ja
või	või
see	selle
sinine	sinise
pass	pas'si
peale	päle
ratnik	`ratnikkust
teine	teese
järk	järgu
noh	nohh
kuidas	kudas
sõja+mees	sõa+mehest
aga	aga
siis+ki	`siiski
mina	mina
vedama	vedasin
kaks	kaks
aasta	`aastad
sõja+vägi	`sõa+vä
töö	tüüd
tegema	tiha
ja	ja
mis	mis
teie	te
siis	siss
veel	vel
tahtma	tahte
siin	sin
mina	mina
olema	olen
elama	eland
kas	kas
teie	te
siis	ss
Muuge	`Muuge
vare	varemettest
ka	ka
tahtma	tahatte
teadma	`tiada
saama	`saada
ah	ahh
just	jus't
no	no
see	seda
mina	ma
teadma	tian
küll	küll
mina	ma
mäletama	mälettan
kui	ku
mina	mina
olema	ol'in
võib+olla	võib+olla
kümme	`kümne
üks	ühe
kaks+teist	kahe+teis+`kümne
aastane	`aastane
siis	siss
kui	ku
mina	ma
käima	käisin
seal	sääl
siis	siss
olema	ol'i
seal	sääl
nii+sugune	nisukke
rant	ran't
sinna+poole	sennap+pole
minema	minna
siis	siss
olema	ol'i
seal	säl
kont	kon'di
hunnik	un'nik
puhas	`puhtad
kont	kon'did
mõni	mõn'i
puu	puu
juur	juur
olema	ol'i
üle	üle
kasvama	kasnd
sinna	`senna
olema	ol'i
need	neid
ikka	`ikke
hunnik	un'nikku
ajama	`aettud
siis	s
no	no
mis	mis
seal	säl
muu	muud
ikka	`ikke
võima	võisid
olema	`olla
inimene	inimesed
vist	vist
ikka	`ikke
no	no
siis	s
tema	tall
olema	ol'i
ikka	ikke
noh	nohh
kindel	`kindel
loss	los's
olema	olnud
siin	sin
ikka	ikke
kaevik	kaevikkud
ümber	`ümber
tegema	`tehtud
kaks	kaks
kanal	ka`naali
ümber	`ümber
teine	teene
olema	ol'l
siis	siss
teine	teene
olema	on
väike	`veiksem
teine	teene
olema	ol'i
suur	suur
aga	aga
siis	siss
olema	ol'i
juba	juba
kamaras	kamaras
peale	`pääle
kasvama	kasnud
nii	niij
et	et
kõikuma	`kõikkus
kui	ku
peale	`pääle
minema	läksid
tema	taa
ikka	ikke
olema	ol'li
nii	nii
sügav	sügav
aga	aga
siis	s
olema	ol'i
juba	juba
peale	`pääle
kasvama	kasnud
ja	ja
siis	s
see	seda
proovima	proovitti
siin	siin
ikka	ikke
ka	ka
siit	siit
miski	midagi
otsima	`ot'sida
või	võe
siis	siss
mina	ma
olema	ol'in
ka	ka
poisike	poos'ikke
siis	siss
olema	ol'id
nädal	nädali
päev	`päivi
üks	üks
kaks+kümmend+viis	kaks+kümmend+viis
kolm+kümmend	kolm+gümmend
mees	miist
kaevama	kaevassid
tema	tema
ringi	`ringi
ja	ja
läbi	läbi
ringi	`ringi
kohe	kuhe
aga	aga
sealt	sält
vist	vist
kuld	`kuulda
miski	midagi
nemad	nad
es	es
leidma	leija
ainult	aenult
seal	säl
ei	eij
olema	olnud
ka	ka
siis	siss
vist	vist
saama	sai
kirik	kerikku
koht	koht
olema	olema
nii	nii
seal+pool	sääl+bool
külg	kül'les
seal	sääl
siis	siss
olema	ol'li
puhas	puhas
põrand	põrand
lapiline	lappilene
aga	aga
see	seda
mina	ma
ei	i
teadma	tia
kas	kas
tema	ta
puu	puust
olema	ol'i
või	või
kivi	kividest
aga	aga
lapiline	lappilene
tema	ta
olema	ol'li
umbes	`umbes
noh	nohh
suur	suurem
no	noo
lai	laijem
ka	ka
kui	kui
see	sii
ja	ja
need	niid
uks	uksed
nelja+kandiline	nel'la+kan'dilene
olema	ol'i
seal	säl
ja	ja
muu	muud
ei	eij
olema	olnd
seal	säl
mitte	mitte
miski	midagi
nädal	nädali
päev	päivil
tulema	tul'id
mees	mihed
ajama	aasid
kinni	kin'ni
tagasi	tagasi
jälle	jälle
ja	ja
jääma+ki	jäigi
nii	nii
kuidas	kudas
tema	ta
olema	ol'i
noh	nohh
kuuld	kuulu
järgi	`järgi
see	se
nii+sugune	nisukke
rahvas	`rahva
jutt	jutt
olema	onn
rootslane	`rootslased
panema	pannuvad
siia	siija
püti+täis	püt'ti+täis
kuld	`kulda
maa	maa
sisse	`sisse
jah	jahh
tjah	thjahh
noh	noh
aga	a
siis	siss
nuhkima	nuhivad
ja	ja
otsima	ot'sivad
ikka	ikke
see	seda
aga	aga
vist	vist
tema	teda
ei	eij
olema+ki	olegi
siin	siin
nüüd	nüid
olema	on
tema	ta
juba	juba
kõik	kõik
täis	täis
kasvama	kasnud
ja	ja
no	no
nüüd	nüit
tänavu	tänavu
suvi	suvel
võtma	`võetti
tema	ta
veel	vel
nüüd	nüid
kuuld	kuulu
alla	`alla
olema	onn
siin	sin
mitu	`mitmed
pidu	pidud
pidama	`peettud
rahvas	rahvast
koledasti	koledaste
kokku	`kokku
olema	ol'i
tulema	tulnd
ja	ja
tema	teda
vaatama	`vaattama
siia	siija
ja	ja
kaugelt	`kaugelt
ikka	ikke
kohe	kuhe
aga	aga
enne	ennem
ei	eij
olema	olnud
aga	aga
tänav+aasta	tänav+`aasta
olema	onn
hakkama	akkanud
see	se
pidu	pidu
peale	`pääle
siin	siin
tjah	tjaahh
ja	ja
mina	mina
olema	olen
elama	elanud
siin	siin
ära	ära
see	seda
vana	vana
mats	mat'si
töö	tüüt
tegema	tehnud
muu	muud
mina	ma
ei	ij
olema	ole
tegema	tehnud
nagu	nigu
nägema	`näätte
ise	is'i
et	et
mina	ma
siin	siin
kivi+vare	kivi+varemed
olema	olen
üles	üless
ajama	aand
kõik	kõik
ka	kaa
ikka	ikke
võtma	`võtnud
töö	tüüd
ja	ja
raha	raha
ja	ja
ja	ja
aga	aga
nüüd	nüid
seni	sen'i
aeg	aani
ära	ära
elama	eland
aga	aga
no	no
et	et
mina	mull
jalg	jalad
vigane	vigasest
jääma	jäänuvad
ei	ei
saama	saa
kõndima	`kõn'dida
tald	talla
alt	alt
valutama	valuttab
ja	ja
jalg	jala
pealt	päält
kõik	kõik
noh	nohh
vanadus	vanadus
kah	kahh
palju	pal'lu
ka	ka
juba	juba
kaheksa+kümmend+kolm	kahessa+gümmend+kolm
aasta	`aastad
saama	saab
see	si
olema	onn
hulka	`ulkka
päev	`päivi
ikka	kke
tjah	tjahh
jaa	jaa
jaa	ja
meie	meil
väga	väga
kivine	kivised
maa	maad
kole	kole
kivine	kivised
olema	onn
no	no
nüüd	nüid
olema	on
noh	nohh
see	sest
olema	onn
ikka	ikke
aasta	`aastid
palju	pal'lu
ära	ära
lõhkuma	lõhuttud
palju	pal'lu
ja	ja
nüüd	nüid
veel	vel
sovhoos	sohooss
see	sii
siis	siss
võtma	võttab
oma+jagu	oma+jagu
välja	`väl'lä
siit	siit
ja	ja
nüüd	nüid
olema	onn
ikka	ikke
tegema	`tehtud
puhas	`puhtamast
aga	aga
enne	enne
olema	ol'i
oi	oi
koledus	koledus
kündma	`künda
ei	ei
saama	saand
mitte	mitte
nagu	nigu
vanasti	vanast
ega	ega
teie	te
ei	i
teadma	tia
nii+sugune	nisust
hark+ader	ar'k+adrad
hark+ader	ar'k+adraga
sealt	sält
kivi	kivide
vahelt	vahelt
saama	sai
saama	sai
välja	`väl'lä
nokitsema	nokkitseda
see	seda
maa	maad
pauk+püssi+rohi	pauk+püs'si+rohuga
jah	jahh
puurima	puuritti
kivi	kivile
auk	auk
sisse	sisse
nii	nii
sõrm	sõrme
jämedune	jämedune
või	võe
ja	ja
siis	siss
püssi+rohi	püs'si+rohi
sisse	`sisse
ja	ja
õle+kõrs	õle+gõrrega
see	sii
rohi	rohi
sinna	senna
sisse	`sisse
või	võ
mitte	`mitte
õle+kõrs	õle+gõrred
määrima	määritti
püssi+rohi	püs'si+roho
vedelik	vedelikkuga
kokku	`kokku
õle+kõrs	õle+kõr's
ja	ja
see	sii
torkama	torgat'ti
sinna	senna
sisse	`sisse
ja	ja
siis	siss
see	sii
plahvatama	plahvattas
põlema	põlema
ja	ja
siis	siss
viskama	`viskas
kivi	kivid
laiali	laijali
kõik	kõik
no	noo
ise	is'i
pidama	pidid
ikka	ikke
raasuke	`raasukke
maa	maad
kaugemal	`kaugemal
tema	ta
viskama	`viskas
tükk	tükkid
ikka	ikke
kaugele	`kaugele
kohe	kuhe
olema	ol'li
siin	sin
koledasti	koledast
kivi	kiva
ja	ja
ja	ja
siin	siin
need	neid
vare	varemit
tema	taa
see	sii
ehitus	ehittus
olema	onn
ikka	`ikke
suur	suurem
siin	siin
ümber+ringi	`ümber+`ringi
olema	olnud
need	need
põld	põllud
nagu	nigu
nägema	`näätte
mis	mis
see	se
torn	tor'n
seal	säl
üleval	üleval
seal	sääl
olema	onn
kõik	kõik
vundament	undamen'di
vare	varemed
sees	sehes
veel	veel
ja	ja
meie	meil
siin+samas	sin+sammas
aia+maa	aija+maa
siin	sin
olema	onn
kõik	kõik
veel	vel
vundament	undamen't
olema	olnud
sees	sehes
mis	miss
jah	jahh
ja	ja
ei	ei
no	no
jah	jahh
Muuge	*Muuge
vundament	undamen't
ikka	ikke
kõik	kõik
see	sii
olema	on
ikka	ikke
siia	siija
pärast	pärast
asutama	asuttud
kui	ku
tema	ta
jälle	jälle
kust	kost
need	neid
koguma	kogunud
inimene	inimeisi
ja	ja
siis	s
olema	ol'i
hõredamasti	õredamaste
inimene	inimesi
ka	kaa
ikka	ikke
olema	olnud
tjaa	tjaa
mina	mina
leidma	`leitsin
siit	siit
veel	vel
üks	ühe
noh	nohh
nii+sugune	nisukkene
pilt	pil't
või	võ
vasene	vasene
noh	nohh
umbes	`umbes
nii	nii
suur	suur
ümmargune	ümmargune
seal	sääl
olema	ol'i
siis	s
inimene	inimese
kuju	kuju
ka	ka
peal	pääl
aga	aga
nemad	nad
viima	viis'ivad
tema	ta
ära	ära
tema	ta
ei	ij
olema	ole
mina	mull
kodu	kodo
tema	temal
olema	ol'i
vist	vist
nii	nii
saksa	saksa
keel	keeles
trükkima	trükkittud
peale	`pääle
kohe	kuhe
mõlemad	mõlemille
pool	`poole
ja	ja
nii+sugune	nisukke
inimene	inimese
kuju	kuju
ka	ka
seal	säl
peal	pääl
vasene	vasene
aga	aga
nemad	nad
viima	*viisivad
tema	teda
ära	ära
mina	ma
saama	saan
tema	teda
kätte	`kätte
küll	küll
aga	aga
aga	aga
nemad	nad
tahtma	`tahtsivad
nägema	nähä
tema	teda
jälle	jälle
ja	ja
muu	muud
siit	siit
ei	eij
olema	ole
küll	küll
leidma	`leidnud
keegi	kedagi
mina	mina
ja	ja
see	se
ainuke	aenukke
asi	as'i
olema+ki	ol'igi
ja	ja
tema	temal
olema	on
ikka	ikke
see	si
ring	ring
see	si
Muuge	*Muuge
vare	varemette
ring	ring
suur	suur
olema	olnud
ega	ega
tema	ta
nii	nii
väike	veikke
ei	eij
olema	ole
siin	siin
olema	on
ikka	ikke
kindlus	`kindlus
kõva	kõva
olema	olnud
aga	aga
eks	eks
aeg	aea
jooksul	`jooksul
kõik	kõik
lõhkuma	lõhuttasse
jälle	jälle
maha	maha
ja	ja
jah	jahh
jah	jahh
kõik	kõik
lõhkuma	lõhuttasse
jälle	jälle
ja	ja
alustama	alustasse
jälle	jälle
tegema	tegema
uuesti	uuwesti
ja	ja
nüüd	nüid
tänavu	tänava
suvi	suvel
võtma	`võet'ti
tema	ta
nii	nii
kuulus	`kuulsast
et	et
mitu	`mitmed
pidu	pidud
pidama	`peettud
siin	siin
rahvas	rahvast
palju	pal'lu
tulema	tul'i
jah	jahh
töötama	`tüüttab
küll	küll
jah	jahh
töötama	`tüüttab
küll	küll
jah	jahh
meie	meil
olema	ol'id
siin	siin
vanasti	vanast
olema	ol'id
mõisnik	`mõisnigu
vald	vallad
aga	aga
meie	meil
see	sii
Kärkna	`Kärkna
vald	vald
see	si
olema	ol'i
Vene	vene
kroonu	kroonu
jagu	jagu
muu	muud
ei	eij
olema	olnd
muidu	muidu
olema	ol'id
kõik	kõik
mõis	`mõisad
vald	vallad
ümber+ringi	`ümber+`ringi
aga	aga
kuidas	kuda
siis	sis
see	sii
olema	ol'i
jääma	*jäänu
see	sii
olema	ol'i
siis	sis
Vene	vene
kroonu	kroonu
oma	oma
siis	sis
tema	tall
olema	ol'i
siin	sin
Vene	vene
kroonu	kroonul
veel	vel
olema	ol'i
siin	sin
Muuge	*Muuge
veski	`ves'ki
Õvi	Õvi
kõrts	kõr'ts
Lähte	`Lähte
kõrts	kõr'ts
need	niid
olema	ol'id
Vene	vene
kroonu	kroonu
käes	käs
kah	kahh
need	neid
pakkuma	pakkutti
kaks+teist	kahe+deis+`kümne
aasta	`aasta
peale	päle
välja	`väl'lä
kaks+teist	kaks+teist
aasta	`aastat
täis	täis
kui	ku
vana	vana
tahtma	`tahtis
võtma	`võtta
aga	aga
panema	`pan'tti
ikka	`ikke
oksjon	`oksjonile
ja	ja
kui	ku
jälle	jälle
teine	teesed
ikka	ikke
juurde	`juure
panema	pan'id
kui	kui
tahtma	tahad
juurde	`juure
panema	panna
siis	siss
olema	onn
ees+õigus	iist+`õigus
küll	küll
aga	aga
ikka	`ikke
oksjon	`oksjoni
peale	`pääle
jah	jahh
rentima	ren'ditti
kaks+teist	kahe+deis+`kümne
aasta	`aasta
peale	päle
välja	`väl'lä
kaks+teist	kaks+teist
aasta	`aastad
siis	siss
aeg	aeg
täis	täis
siis	siss
panema	`pan'tti
uuesti	uuwesti
vana	vanal
ees+õigus	iist+`õigus
küll	küll
olema	ol'i
aga	aga
kui	ku
teine	teene
üle	üle
pakkuma	`pakkus
võtma	võttab
ära	ära
noh	nohh
siis	siss
kui	kui
sina	sa
tahtma	tahad
ise	is'i
panema	pane
juurde	`juure
siis	sis
saama	sad
tagasi	tagasi
tjah	tjahh
meie	meil
olema	ol'i
siin	sin
nii+sugune	nisukke
kroonu	kroonu
elu	elu
siin	sin
meie	meil
ei	eij
olema	olnd
mõisnik	`mõisnigudega
tegemine	tegemest
no	no
mõisnik	`mõisnikkude
vald	vallas
seal	säl
olema	ol'id
ikka	ikke
teine	teesed
lugu	lood
jälle	jälle
ja	ja
ikka	ikke
nagu	nigu
siin	sin
Kärevere	Kärevere
vald	vallas
ja	ja
seal	säl
ikka	ikke
inimene	inimeisi
veel	vel
kuulma	kuuld
ikka	ikke
hävitama	ävittadama
ja	ja
kas	kas
siis	siss
mõisnik	`mõisnikkud
tegema	tegid
see	seda
töö	tüüd
ka	ka
seal	säl
või	võ
vanasti	vanast
olema	ol'id
mõis	`mõisad
ikka	ikke
suur	*suured
mõtlema	`mõtle
nemad	nende
krunt	krun'did
mis	miss
olema	ol'id
mõis	`mõisattel
käes	kääs
vald	vallad
ja	ja
mõis	`mõisad
ja	ja
aga	aga
kena	kena
et	et
nemad	nad
nüüd	nüüd
olema	onn
kõik	kõik
ära	ära
kaotama	`kaottadud
ei	eij
olema	ole
enam	änam
mitte	`mitte
üks	üht
mõisnik	`mõisnikku
kuskil	`kos'kil
ei	eij
olema	ole
jah	jahh
aga	aga
mina	minul
olema	onn
mõisnik	`mõisnigu
tool	tool'
siin	siin
all	all
küll	küll
istuma	`istuda
nah	nahh
minema	lähäb
ratas	rattaste
peal	päl
ega	ega
siis	siss
mats	mats'il
nii+sugune	nisukkest
tool	`tool'i
ei	eij
olema	olnd
aga	aga
vaatama	vaatta
kui	kui
need	ned
mõisnik	`mõisnigud
hävitama	ävittadi
siis	s
müüma	`müidi
see	seda
koli	kol'i
ära	ära
mõisnik	`mõisnikkude
koli	kol'i
no	noo
mina	mull
üks	üks
tuttav	`tutva
olema	ol'li
kes	kiss
see	seda
koli	kol'i
kokku	`kokku
ostma	`os'tis
ja	jaa
linn	linnas
elama	elas
ja	ja
mina	mina
tulema	tul'i
hobune	obusega
linn	linnast
sealt	sält
mööda	`mööda
ja	ja
tema	ta
ütlema	`ütleb
et	et
kas	kas
sina	sa
ei	i
tahtma	taha
ka	ka
üks	üks
tukkumine	`tukkumese
tool	tool'
saama	`saada
oma	omale
mina	ma
ütlema	`tlen
kuluma	kulub
ära	ära
kah	kahh
ja	ja
viskama	`viskas
tema	ta
mina	mulle
regi	`rekke
ja	ja
see	sii
olema	onn
mina	mull
praegu	`praegu
vana	vanal
inimene	inimesel
vaatama	vaatta
kui	kui
hea	ia
kõik	kõik
üles	ülesse
tõusma	tõusta
ehk	ehk
tahtma	tahad
edasi	edesi
lükkama	lükkatta
rehv	rehv
tõmbama	`tõmmab
tema	teda
edasi	edesi
väga	väga
hea	ia
tool	tool'
olema	onn
jah	jahh
no	no
kust	kost
mina	ma
see	seda
võima	võin
teine	tesel
palju	pal'lu
kokku	`kokku
korjama	korjattud
kes	kess
kust	kost
või	või
kes	kelle
oma	oma
tema	ta
olema	ol'l
aga	aga
aga	aga
et	t
nemad	nende
oma	oma
tema	ta
ega	ega
siis	s
mats	mat'sil
ikka	ikke
nii+sugune	nisukkest
tool	`tooli
ei	eij
olema	olnd
ometi+ki	omettigi
see	sii
olema	onn
ikka	ikke
seal	sääl
välja	`väl'lä
viskama	visattud
jah	jahh
aga	aga
mina	minul
olema	on
tema	ta
nüüd	nüid
küll	küll
väga	väga
hea	ia
asi	as'i
jaa	jaa
olema	ol'i
mäletama	mälettan
küll	küll
mäletama	mälettan
küll	küll
kas	kas
sina	sa
teadma	tiad
ka	ka
tundma	`tun'tsid
see	seda
ah+ah	ah+ah
ah+ah	ah+ahh
jah	jahh
jah	jahh
olema	ol'i
küll	küll
tema	ta
olema	ol'i
siin	sin
kaks+teist	kaks+teis+kümme
aasta	`aastad
jah	jahh
kaks+teist	kaks+teist
aasta	`aastad
täis	täis'
siis	s
tema	ta
võtma	`võt'tis
küll	küll
uuesti	uvvesti
tagasi	tagasi
aga	aga
isu	isu
saama	sai
tema	tall
otsa	`otsa
ja	ja
siis	siss
andma	`an'dis
tema	ta
üle	üle
teine	teisele
tulema	tul'i
vana	vana
Koik	Koik
siia	`siija
no	no
mina	mina
olema	olen
need	neid
mölder	`möldrid
siin	siin
ära	ära
seitse	seitse
tükk	`tükki
pidama	pidanud
kaheksas	kahessas
olema	onn
käes	kää
jah	jahh
kõik+sugune	`kõikki+sugusid
need	neid
olema	olnud
ja	ja
mina	ma
ei	i
mäletama	mäletta
see	seda
hind	ind
olema	ol'i
ikka	ikke
keskmine	`keskmene
oksjon	`oksjoni
peal	päl
pakkuma	pakkut'ti
aga	aga
mitte	`mitte
mina	ma
ei	i
mäletama	mäletta
palju	pal'lu
see	se
hind	ind
olema	`ol'li
mitte	`mitte
mina	ma
ei	i
mäletama	mäletta
no	noo
nüüd	nüid
tema	ta
olema	onn
küll	küll
juba	juba
ostma	ostettud
ära	ära
riik	riigi
käest	käst
nüüd	nüid
siis	siss
andma	`an'dsivad
ka	kaa
edasi	edesi
jälle	jäll
ikka	ikke
mõni	mõnel
villand	villand
saama	sai
tema	tast
andma	`an'ds
edasi	edesi
jälle	jälle
no	no
ikka	ikke
vanasti	vanast
olema	ol'i
nii	nii
raha	raha
eest	iist
ei	eij
olema	`olnud
siis	s
matt	mat't
jah	jahh
vakk	vakka
pealt	pält
võtma	`võet'ti
üks	üks
nelja+kandiline	nel'la+kan'dilene
matt	mat't
olema	ol'i
see	selle
täis	täis
võtma	`võet'ti
vakk	vakka
pealt	pält
ära	ära
tera	teri
tjah	tjahh
a	aa
nüüd	nüid
ju	jo
olema	onn
kõik	kõik
raha	raha
eest	iist
nüüd	nüid
ei	eij
olema	ole
enam	enam
nii	nii
jah	jahh
jah	jaahh
mis	miss
mina	ma
ei	i
teadma	tia
teie	teele
ka	ka
miski	midagi
suur	suuremad
nüüd	nüid
seletama	selettada
siit	siit
jaa	jaa
vedama	vedasid
küll	küll
mina	ma
ise	is'i
ka	kaa
vedama	vedasin
aga	a
mis	mis
tema	ta
käima	käis
saama	said
mets	metsast
puud	puud
ostma	`osta
ja	ja
va	va
kulu	kul'u
peale	`pääle
regi	`reele
ja	ja
ja	ja
turg	`turgu
no	no
ikka	`ikke
müüma	`müidi
mets	metsas
kah	kahh
ise	is'i
pidama	pid'id
maha	maha
vot	vot
korjama	korjatti
mets	metsast
mis	miss
nii+sugune	nisuksed
pool+lõpnud	pool+`lõpnud
ja	ja
ja	ja
vigane	vigased
puud	puud
olema	ol'id
ja	ja
siis	siss
käänama	käänatti
kohe	kuhe
nii+sugune	nisukke
tükk	tükk
palju	pal'lu
seal	säl
puu	puid
sees	sehes
olema	onn
ostma	`os'tsid
see	selle
ära	ära
ja	ja
võima	võisid
vedama	vedada
ja	ja
siis	siss
müüma	`müidi
ka	ka
veel	veel
tükk	tükki
viisi	viisi
kohe	kuhe
suur	suured
tükk	tükkid
nii	nii
vaka+maa	vakka+maa
suurune	`suurused
tükk	tükkid
oksjon	`oksjoni
pealt	pält
jälle	`jälle
ja	ja
kui	kui
siis	s
see	selle
ära	ära
ostma	`ostva
saama	sai
vedama	vedada
mina	ma
ostma	`os'tsin
ise	is'i
kah	kahh
mina	ma
ostma	`os'tsin
suur	suure
tükk	tükki
kolm	kolm
vaka+maa	vakka+maad
olema	ol'li
suur	suur
andma	`an'dis
kolm	kolm
aasta	`aastad
vedama	vedada
kõik	kõik
puhas	`puhtast
kohe	kuhe
puhas	puhas
jah	jahh
aga	a
valla+maja	valla+maeas
jah	jahh
valla+maja	valla+maeas
pidama	`peetti
ja	ja
ja	ja
siis	siss
olema	ol'id
need	niid
tükk	tükkid
kõik	kõik
ära	ära
määrama	määrattud
ära	ära
lugema	`loettud
puud	puud
ära	ära
hindama	innattud
kõik	kõik
ja	ja
siis	siss
pidama	pid'id
siis	siss
puhas	`puhtast
tegema	tegema
tema	temä
saama	sai
turg	turus
käima	käija
küll	küll
kah	kahh
jah	jahh
jõgi	jõge
pidi	pidi
küll	küll
juba	juba
siin	sin
nüüd	nüid
ei	ei
külmetama	kül'metta
enam	enam
aga	aga
siis	siss
sügis	sügise
külmetama	kül'mettas
aegsasti	`aeksast
ju	jo
ja	ja
kuni	kuni
kevad	kevadini
olema	ol'l
ikka	ikke
jõgi	jõe
tee	tii
ilus	ilus
tee	tii
ja	ja
meie	me
vedama	vedasime
siit	siit
kivi	kiva
linn	`linna
talv	talvel
ehitus	ehittuse
kivi	kiva
mõni	mõn'i
talv	talvel
saama	sai
ära	ära
vedama	`veettud
kümme	kümme
kaks+teist	kaks+teis+kümme
kuubik	kuuppikkud
oh	oohh
üks	üks
kilo+meeter	kilu+`meetter
jõgi	jõgi
olema	onn
siit+samast	siit+sammas
küll	küll
aga	aga
siis	siss
sealt	säält
tulema	tul'i
nii	nii
jõgi	jõe
peale	päle
minema	`minna
siin	siin
olema	onn
nii+sugune	niske
kärestik	kärestik
siin	siin
jooksma	*jooseb
väga	väga
kõvasti	kõvaste
kivine	kivine
ja	ja
kärestik	kärestikku
rohke	`rohke
aga	aga
siit	siit
üks	üks
kilo+meeter	kilu+`meetter
maa	maad
üle	üle
heina+maa	eina+ma
minema	minna
sealt	säält
käima	käib
jõgi	jõe
peale	päle
tjah	tjahh
mis	miss
siis	siss
veel	veel
olema	oless
no	noo
põld	põllu
kivi	kivid
olema	ol'id
kõva	kõvad
mäda	mäda
ei	ei
tohtima	`tohtind
olema	olla
pidama	pidi
kõva	kõva
kivi	kivi
olema	olema
veel	vel
oh	oohh
mõni	mõni
nagu	nigu
puder	pud'er
ei	ei
kestma	kesta
haamer	`aamriga
lööma	lüija
minema	läb
puru	purust
kõik	kõik
jah	jaahh
olema	onn
kõik+sugune	`kõikki+sugusid
sinna	senna
saama	sai
vedama	vedada
need	neid
küll	küll
ja	ja
teadma	tian
praegu	`praegu
mitu	mittu
maja	maea
mis	miss
seisma	seisab
üleval	üleval
nüüd	nüd
kus	kos
mina	ma
vedama	vedasin
Kroonu+aia	Kroonu+aija
uulits	uul'itsasse
rinnak	rinnakku
pealt	pält
üles	ülesse
kaks	kaks
maja	maea
olema	onn
seal	säl
hea	iad
maja	maead
sinna	senna
vedama	vedasin
kaks	kaks
talv	`talve
oh	ohh
mina	mina
ikka	ikke
oma	oma
elu	elu
sees	sees
olema	olen
töö	tüüd
ka	ka
tegema	tehnud
küll	küll
aga	aga
nüüd	nüid
olema	olen
ka	ka
võimetu	võemettust
jääma	jäänu
oma	omal
ikka	`ikka
ka	ka
rajama	raeanud
siia	sia
müür	müirid
üles	ülesse
ja	ja
nüüd	nüid
olema	on
tema	ta
sovhoos	sovhoosi
käes	kääs
mina	mina
es	ess
saama	saa
oma	oma
töö	tüüst
miski	midagi
nii	nii
palju	pal'lu
et	t
m	m
käes	kää
osa	osast
elu+maja	elu+maea
ja	ja
siis	siss
et	et
paar	paar'
kuur	`kuuri
olema	onn
ka	kaa
ikka	ikka
meie	meije
käes	kää
veel	vel
tarvitama	tarvittada
aga	a
muidu	muidu
olema	onn
siin	siin
sovhoos	sovhoosi
laut	laut
sees	sehes
ja	ja
mõni	mõni
kolm+kümmend+kaks	kolm+gümmend+kaks
või	võe
kolm+kümmend+neli	kolm+gümmend+nel'i
elajas	elaead
olema	on
sees	sehes
siin	siin
laut	laudas
no	no
nüüd	nüid
olema	onn
ikka	ikke
tegema	`tehtud
ka	kaa
nagu	nigu
oma	oma
pärast	pärast
ikka	ikke
avar	avaramast
kui	ku
saama	sai
elu	elu
no	noo
aga	aga
saama	sai
laut	laut
aga	aga
nii	nii
suur	suur
mis	miss
sovhoos	sovhoosile
ka	ka
kõlbama	kõlvass
noh	nohh
seal	säl
olema	ol'i
küün	küin
ots	ots
küün	küin
vooderdama	vooderdadi
ka	kaa
veel	vel
ära	ära
ja	ja
