salv	`salves
hakkama	`akkan
mõtlema	`mõtlema
see	seda
vana	vana
asi	`as'ja
siis	siis
ime	ime
isegi	isegi
olema	on
imetsema	imetsen
kuida+viisi	kuida+viisi
ennem	`ennem
neh	nehh
ja	ja
kõik	kõik
olema	õl'id
nisuke	nisuksed
asi	as'jad
ühte+lugu	`ühte+lugu
ega	ega
muu	muud
asi	`as'ja
ei	eij
olema	õllud
ju	ju
tulema	tul'ivad
kokku	`kokku
mängima	`män'gima
ja	ja
kõik+sugu	`kõik+sugu
mäng	mängud
saama	said
ära	ää
mängima	mängittud
ring+mäng	ringi+mängud
ja	ja
no	no
jaa	jaa
hehe	hehe
aah	aahh
kes	kess
see	seda
enam	enam
ema	ema
oma	oma
veel	vel
ooh	oohh
mina	mull
olema	on
praegu	`praegu
käsi+töö	käs'i+`düös'id
küllalt	küllalt
veel	vel
mis	mis
mina	ma
tegema	tegin
kõik+sugu	kõik+sugu
heegel+pits	eegel+`bitsi
ja	ja
heegeldamine	eegeldamisi
mina	mull
olema	õl'i
kaheksa	kaheksa
heegeldama	eegeldud
lina	lina
kui	kui
minema	läksin
mees	mehele
laud+lina	lavva+linad
seal	sääl
olema	õl'i
villane	villase
lõng	lõngadega
ja	ja
kõik+sugune	kõik+suguse
lõng	`lõngadega
alati	alat'ti
töö	tööd
ilm	`ilmast
ilm	`ilma
ja	ja
veel	veel
noorelt	nooreld
minema	läksin
mees	mehele
ja	ja
nii+palju	nii+bal'ju
olema	õl'i
juba	juba
mina	mull
käsi+töö	käs'i+dööd
ära	ärä
tegema	tehtud
aga	aga
muu	muu
asi	as'i
see	sie
mis	miss
tarviline	tarviline
see	se
olema	õl'i
veel	vel
era+töö	era+töö
nii+viisi	nii+vis'i
et	et
kui	kui
ise	ise
tahtma	`tahtsid
vahel	vahel
eha	ehale
minema	läksid
kuhugi	kohegi
ehk	ehk
meie	me
käima	käisime
eha	ehal
juba	juba
üks	üks
üks	ühel
jah	jahh
täna	täna
minema	läksime
see	selle
tuttav	`tutva
juurde	`juure
töö	`tööle
käsi+töö	käs'i+dööd
tegema	tegemä
homme	ommen
teine	tõesele
ja	ja
kord+korralt	kort+korrast
käima	käis'imä
talv	talve
ajal	aal
ega	ega
siis	ss
suvi	suvel
saama	saand
talv	talvel
minema	mine
eha	ehal
eha	ehale
vaja	vaea
minema	`minnä
jah	jähh
siis	siis
seal	siäl
tegema	tegime
need	neid
töö	`töös'id
käsi+töö	käs'i+`döös'id
ei	ei
vokk	vokkidega
meie	me
ei	ei
ikka	`ikke
noh	nohh
need	need
heegeldus	eegeldused
ja	ja
niske	`nisksed
välja+õmblus	`väl'la+`õmblused
niske	`niskesed
olema	õl'id
vokk	vokkid
olema	õl'id
kodus	kodu
kodus	kodu
pidama	pid'ime
vokk	vokkidega
tegema	tegemä
talv	tal'v
otsa	`õtsa
saama	sai
vokk	vokkidega
ketrama	kedratta
ei	ei
üks+kõik	üks+kõik
egas	egass
püha+päev	püha+bääval
ei	ei
käima	käind
püha+päev	püha+bääval
pidama	pid'ime
püha+päev	püha+`bääva
pidama	pittama
kirik	kerikku
minema	minema
ja	jaa
kool	`kool'i
ja	ja
palve+tund	`palve+`dun'di
ja	ja
püha+päev	püha+bääval
ei	ei
keegi	`keegi
ei	ei
tegema	tehnud
töö	tööd
meie	meije
vanemad	vanemad
ei	ei
tegema	tehnud
töö	tööd
mitte	`mitte
iga	iga
päev	päeva
püha+päev	püha+bääval
nüüd	nüüd
olema	põle
püha	püha
aga	a
see	se
ava	ava
see	sest
vana	vanast
aeg	aast
mina	ma
tahtma	tahan
ikka	ikke
rääkima	`riakki
mis	mis
mina	ma
veel	viel
mäletama	melettan
kuidas	kuda
vanasti	vanast
olema	õl'i
ja	ja
mina	maa
rääkima	riagin
teie	teile
see	sest
jaam	`jaamast
see	sie
olema	õl'i
enne	`enne
posti+jaam	pos'ti+jaam
ja	jaa
järv	järve
pool	puol
tee	tied
olema	on
posti+tall	pos'ti+tal'lid
teie	tee
vaatama	`vaattatte
täna	täna
kõik	kõik
need	nied
ära	ää
veel	viel
ja	ja
nüüd	nüüd
olema	on
tema	ta
kooli+maja	kuol'i+maea
nüüd	nüüd
nemad	naad
põletama	põlettasid
üks	üks
kolm	kolm
aasta	`aastad
tagasi	tagasi
kui	kui
minema	läks
see	sie
ülemine	ülemine
kord	kord
põlema	põlema
kahe+kordne	kahe+kordne
olema	õl'i
kivi+maja	kivi+maea
väga	väga
tore	tore
mitu	`mitme
korsten	`korstnaga
olema	õl'i
ja	ja
ja	ja
vana	vanast
aeg	aast
ehitama	ehittedud
kivi+maja	kivi+maea
sein	seeinad
jääma	jäid
alles	alles
siis	siis
ehitama	ehitted'i
tagasi	tagasi
see	sie
see	sie
tulema	tuli
siia	`seije
ja	ja
ja	ja
tema	tema
korraldama	korraldas
ja	ja
ja	ja
laskma	`laskis
tegema	tiha
ja	ja
nüüd	nüüd
olema	on
kool	kuol
sees	sies
ja	ja
seal	siäl
olema	on
ikka	ikke
ruum	`ruumi
ja	ja
kõik	kõigil
elama	elada
need	neil
õpetaja	õppettajattel
ja	ja
nii	nii
palju	pal'ju
olema	on
seal	sial
tuba	tubasid
ja	ja
ruum	`ruumisid
enne	`enne
olema	õl'i
posti+jaam	pos'ti+jaam
posti+tall	pos'ti+tal'li
hobune	obused
olema	õl'id
seal	siäl
sees	sies
ja	ja
enne	enne
õiendama	õijendatti
hobune	`oustega
kõik	kõik
see	sie
olema	onn
Ninasi	Ninasi
kus	kos
jaam	jaam
olema	onn
Ninasi	Ninasi
küla	küla
aga	a
see	see
olema	on
Tammispää	Tammispaa
ja	ja
siia	`seije
sinna	`sinna
olema	on
nüüd	nüid
ütlema	`ütleme
üks	üks
või	vai
kaks	kaks
kilo+meeter	kilu+`mietrid
no	no
võib+olla	võib+olla
kaks	kaks
suur	suurt
tee	tied
mööda	mööda
teie	te
minema	lähte
Must+vee	Mustve
poole	puole
siis	sis
teie	te
nägema	näette
kõik	kõik
ja	ja
käima	käitte
seal	sial
ka	koa
sees	sies
noh	nohh
eks	eks
see	se
post	posti
vedamine	vedamine
siis	siis
et	et
et	et
õq	õq
siis	siis
olema	õl'id
need	nied
mees	mehed
kohe	kõhe
kes	kess
see	selle
jaoks	jaust
kes	kess
post	`posti
vedama	vedasivad
ja	ja
hobune	obused
tall	tal'lis
ja	ja
ja	ja
seal	siäl
olema	õl'i
kõik	kõik
hein	ein
tegema	`tehti
seal	siäl
olema	õl'id
ruum	ruumid
kuhu	kuhu
hein	ein
panema	`panna
ja	ja
ja	ja
kõik	kõik
olema	õl'i
hästi	`äs'ti
ja	ja
nüüd	nüüd
need	ned
tall	`tal'lid
olema	o
praegu	praaegu
veel	viel
üleval	ülevel
mõtlema	`mõtle
kui	ku
vana	vanal
aeg	aal
siis	sis
need	net
ütlema	`ütleme
Katariina	Kattariin'i
ajal	aeal
need	nied
e	e
kask	kased
mis	mis
seal	siäl
rohu+aas	rohu+aas
rohu+aed	rohu+aed
seal	siäl
ots	õtsas
Katariina	Kattariin'i
aegne	`aegne
see	sie
olema	õl'i
naiste+rahvas	naiste+rahvas
kes	kess
valitsema	val'itses
see	sie
Katariina	Kattariina
vot	vott
jaa	jaa
need	nied
olema	on
surema	`surned
juba	juba
ja	jaa
olema	õl'i
küll	küll
siit	siit
kesk	kesk
küla	küla
kohe	kõhe
elama	elas
naine	naine
ja	ja
mees	mies
olema	õl'id
need	nied
olema	õl'id
need	nied
olema	õl'id
jah	jahh
aga	aga
need	nied
olema	on
surema	`surned
enam	enäm
nemad	neid
ei	eij
olema	õle
no	no
ainuke	ainukke
mina	mina
üksi	üksi
nii	nii
vana	vana
et	et
mäletama	mälettad
see	seda
kõik	`kõikki
algus	`algus
kohe	kõhe
jah	jahh
pere	pere
pere	pere
pere+naine	pere+naine
e	e
elama	elas
kohe	kõhe
ja	ja
seal	siäl
olema	õl'i
ikka	ikke
ruum	`ruumi
nii	niij
et	et
et	et
nemad	nad
saama	said
elama	elad
seal	sial
olema	on
ikka	`ikka
ütlema	`ütleme
tuba	tubasid
seal	sial
jaam	`jaamas
kohe	kõhe
noh	nohh
olema	õleks
nüüd	nüd
mina	ma
nagu	nagu
ütlema	`ütleme
et	et
kümme	kümme
aasta	`oostad
tagasi	tagasi
siis	siis
mina	ma
ehk	ehk
teadma	tiaks
palju+ki	pal'jugi
aga	aga
tema	ta
olema	on
ju	ju
palju	pailu
aasta	`aastaid
nüüd	nüd
mina	ma
pidama	pian
arvama	`arvama
mis	mis
mina	ma
rääkima	räägin
ega	ega
tühi	`tühja
ei	ei
saama	saa
rääkima	`rääkki
pidama	piad
ikka	ikk
see	seda
rääkima	`rääkkima
mis	miss
olema	õlemas
olema	on
jah	jahh
mis	mis
mina	ma
need	neist
ei	ei
teadma	tia
kui	kui
palju	pal'ju
rääkima	`rääkkida
sest	sest
et	et
nemad	neid
enam	enämb
ei	eij
olema+ki	õlegi
need	nied
olema	on
nüüd	nüüd
surema	`surnud
ja	ja
ja	jaa
mina	ma
miski	`miski
halb	`alba
need	neist
ei	eij
olema	õle
kuulma	kuulnd
mitte	`mitte
siiski	`siiski
e	e
et	et
need	neist
olema	on
meel	`mielde
jääma	jäänd
aga	aga
enamus	enämus
need	neid
joodik	`juodikkid
et	et
kui	kui
see	sie
Ninasi	Ninasi
kõrts	`kõr'tsi
see	sie
olema	on
siin+pool	siin+puol
üpris	`üpris
kilo+meeter	kilu+`meetter
see+pool	see+puol
või	vai
vähem	vähäm
veel	viel
olema	õl'i
kõrts	kõr'ts
ja	jaq
küla	külast
käima	käisivad
need	nied
pere+mees	pere+med
jooma	juoomas
mõni	mõni
olema	õl'i
kolm	kuolm
päev	`pääva
seal	sial
siis	siis
üks	üks
ja	ja
kaks	kaks
surema	suri
ära	ää
kõrts	`kõrtsi
ette	`ette
see	seda
mina	mul
olema	on
meel	mieles
küll	küll
mina	minu
ajal	aal
kõrts	`kõrtsi
ette	`ette
viin	`viina
surema	surid
ära	ära
ja	ja
matma	`maet'ti
maha	maha
ja	ja
tema	tema
ei	ei
õppima	õppittud
tema	tema
pealt	peald
aga	aga
posti+mees	pos'ti+mehed
nii	nii
e	e
ei	eij
olema	old
nii	ni
et	et
nemad	nemad
sedasi	sedasi
nii+viisi	`nii+visi
minema	läksid
jooma	`jooma
kuni	kuni
nemad	neije
päev	päävad
tulema	tulid
kuidas	kuda
kõrts	`kõrtsis
või	vai
ei	ei
ah	ahh
post	pos'tis
mina	mina
see	seda
ka	kaa
ei	i
teadma	tia
kuidas	kuda
see	sie
olema	õl'i
need	neil
no	no
eks	eks
nemad	nad
ikka	ikke
nüüd	nüd
nii	nii
olema	õld
et	et
et	et
võib+olla	võib+õlla
üks	ühed
käima	käisid
täna	täna
ja	ja
teine	teised
jälle	jälle
minema	läksid
homme	`omme
ega	ega
siis	sis
nemad	neid
siis	sis
nii	nii
jagu	jao
pärast	pärast
ei	eij
olema	õld
enne	`enne
enne	`enne
olema	õl'i
mees	mehi
rohkem	`rohkem
siin	sin
küla+ki	külaski
nüüd	nüüd
olema	on
küla	küla
tühi	tühi
sõda	sõda
olema	on
kõik	kõik
tegema	tehnud
see	seda
et	et
rikas	`rikkad
olema	on
ära	ära
kaotama	`kaottand
jaa	jaa
eks	eks
need	ned
vaene	`vaesed
elama	ela
ikka	`ikke
veel	viel
aga	aga
rikas	`rikkaid
ei	ei
tahtma+ki	tahettutki
nemad	nad
minema	läksid
Siber	Siberisse
ja	ja
pidama	pidid
minema	menema
sinna	`sinna
jah	jahh
no	noo
jah	jahh
jah	jahh
olema	õl'i
jah	jahh
nii+palju	nii+bal'lu
olema	õl'i
ikka	ikke
mees	mehi
ka	kaa
et	et
et	et
sinna	`sinna
viis	viije
vene	venne
sisse	`sisse
saama	sai
nooh	noohh
ütlema	`ütleme
et	et
viis	viis
mees	miest
olema	õl'i
noot	noodas
noh	nohh
eks	eks
eks	eks
nemad	neid
ikka	ikke
olema	õld
siin	siin
olema	on
kolm+kümmend	kolm+gümend
maja+pidamine	maea+pidamist
eks	eks
jah	jah
iga	igas
maja	maeas
ikka	ikke
olema	õl'i
mees	mies
aga	a
nüüd	nüüd
ei	eij
olema	õle
nüüd	nüd
olema	on
mitu	mittu
maja	maea
tühi	`tühja
ei	eij
olema	õle
mees	mehi
mõni	mõnes
maja	maeas
olema	õl'i
neli	nel'i
viis	viis
mees	miest
ega	ega
nemad	nämad
ei	ei
saama	saand
vahtima	`vahtida
nemad	nämad
otsima	`õtsis'd
oma	õmale
amet	amet'tid
ja	ja
tegema	tegid
noot	nooda
ja	ja
püüdma	püüs'id
noot	noodast
üks	ühest
maja	maeast
olema	õl'i
viis	viis
mees	miest
olema	õl'i
ehk	ehk
olema	õl'i
neli	nel'i
mees	miest
kaks	kaks
käima	käis
mines	mines
noot	noodas
maja	maeas
siis	siis
elu	elu
minema	läks
noh	noh
noot	noot
ega	ega
tema	ta
kui	kui
suur	suur
ei	eij
olema	õld
nii	nii
suur	suur
tema	ta
küll	küll
ei	eij
olema	õld
kui	kui
praegune	`präägusel
aeg	aeal
olema	on
see	sie
ee	ee
noh	nohh
riik	riigi
noot	noot
see	sie
püüdma	püijab
pool	poole
järv	`järve
ja	ja
püüdma	püijab
palju	pail'lu
kala	kalu
ei	ei
iial	iijal
ei	ei
püüdma	püidn
meie	meije
nii	nii
palju	pal'lu
kala	kalu
kui	kui
kui	kui
see	sie
see	se
olema	onn
Vene+maa	Vene+maal
Vene+maa	Vene+maa
noot	noodad
püüdma	püijavad
siit	siit
meie	meije
rand	rannast
nüüd	nüid
olema	on
kõik	kõik
üks	üks
ja	ja
meie	meije
rahvas	`rahval
ei	eij
olema	õle
lubama	lubattud
ainult	`ainuld
kalur	kalurid
kalur	kalurid
püüdma	püijavad
jah	jahh
nojah	noojahh
rääkima	`riägime
need	neist
vana+aegne	vana+`aeksest
meie	meije
pidama	piame
see	seda
vana	vana
aeg	`aega
kallis	`kal'list
pidama	pidama
et	et
vana+inimene	vana+in'imesed
see	sie
vana	vana
raha	raha
olema	õl'i
kallis	kal'lis
teie+ki	teijegi
mäletama	mälettatte
rubla	rubla
olema	õl'i
see	selle
eest	eest
sina	sa
saama	said
juba	juba
puud	puuda
jahu	jahu
ega	ega
nüüd+ki	`nüitki
leib	leib
kallis	kal'lis
ei	eij
olema	õle
tänu	tänu
see	selle
riigi+isa	riigi+isale
tema	täma
andma	annab
leib	`leiba
ja	ja
sai	`saija
mõlemad	mõlemid
andma	annab
odav	odava
hind	innaga
siis	siis
ei	ei
saama	sua
inimene	in'ime
kisendama	kisendatta
kui	kui
kõht	kõht
tühi	tühi
olema	on
kui	kui
sina	sul
leib	`leiba
olema	onn
ei	eij
olema	õle
vaja	vaea
ahi	`ahju
kütma	`kütta
leib	leib
valmis	`val'mis
muudkui	muutku
andma	anna
raha	raha
ka	kaa
aga	a
küll	küll
olema	on
vaene	`vaene
kes	kel
raha	raha
ei	eij
olema	õle
ütlema	`ütle
kui	kui
sina	sul
käsi	käed
ei	ei
töötama	`tüötta
vot	vott
mina	maa
pidama	pian
see	seda
ütlema	`ütlema
mina	mina
olema	õlen
vana	vana
ja	ja
uskuma	`uskuge
see	seda
kui	kui
mina	minu
käsi	käed
ei	ei
töötama	`tüöttaks
ja	ja
mina	ma
kaebama	`kaebaksin
see	seda
tütar	`tütrele
mina	maa
ei	i
tahtma	taha
sina	su
maa	maad
kraapima	`kraappi
mina	ma
ei	i
saama	saa
kraapima	`kraappi
ega	ega
tema	tema
ei	i
saama	saa
mina	minu
sundima	`sun'di
mina	maa
tõusma	tõusen
hommikul	ommukku
kõige	kõige
hiljem	il'jem
kell	kell
kuus	kuus
aga	aga
vaatama	`vaatta
et	et
kell	kell
viis	viis
ei	eij
olema	õle
väljas	väl'jas
tõesti	tõest
mina	ma
nii	nii
vara	vara
olema	õlen
väljas	väl'jas
ja	ja
kui	ku
olema	onn
külm	külm
hommikul	ommukku
ei	eij
olema	õle
sättima	sät'tin
ruttu	`ruttu
ise	ennast
riie	`riide
ja	ja
ruttama	`ruttan
peenar	`piendra
äärde	`ääre
mina	ma
kitkuma	kitkun
nemad	nad
kõik	kõik
olema	on
puhas	`puhtad
kui	kui
teie	te
vaatama	`vaattaksitte
siit	siit
see	seda
porgandi+väli	porgandi+väl'i
see	sie
andma	annab
meie	`meile
leib	`leiba
meie	meije
andma	anname
riik	riigile
see	seda
vili	`vil'ja
porgand	por'gandid
andma	anname
nii	nii
kuidas	kuda
riik	riik
meie	`meile
andma	annab
ja	ja
meie	meije
saama	saame
see	sellega
oma	omale
kõht	kõhud
täis	täis
ja	ja
tänu	tänu
jumal	jumalale
et	et
tema	ta
kõik	kõik
tark	targad
olema	on
panema	pannud
sinna	`sinna
ette+otsa	ies+`otsa
ja	ja
loll	`lol'lisid
ei	eij
olema	õle
panema	pand
siis	siis
meie	me
olema	õleksime
küll	küll
häda	ädas
olema	õld
kui	kui
tema	ta
meie	meije
mina	maa
olema	õleks
võtma	võtnd
veel	veel
väike	`väiksemast
kui	kui
tema	ta
olema	onn
kuus+kümmend	kuus+gümend
sajandik	sadan`dikku
olema	onn
pere	perele
andma	`anttud
pere	pere
peale	`peale
ega	ega
see	see
suur	suur
tükk	tükk
ei	eij
olema	õle
sinna	sinna
tooma	tõi
kartul	`kar'ttulid
sinna	`sinna
tooma	tõi
kapsas	`kapsaid
sinna	`sinna
tooma	tõi
porgand	por'gandid
tooma	tõi
isegi	isegi
kurk	`kur'kkisid
meie	meil
kurk	`kur'kkisid
ka	kaa
ütlema	`ütleme
kolm	kolm
kord	`kõrda
noh	nohh
palju	pal'lu
ei	ei
saama	saa
tänavu	tänavade
tema	teda
see	see
rahe	rahe
rikkuma	`rikkus
ära	ära
jah	jahh
üks+kord	üks+kõrd
olema	õl'i
suur	suur
rahe	rahe
kui	ku
kurk	kur'gid
ju	juo
olema	ol'id
üleval	ülevel
taguma	tagusid
leht	lehed
kõik	kõik
nagu	nagu
läbi	läbi
ja	ja
minema	läksid
kohe	kõhe
nagu	nigu
plekk	plekkid
kangesti	`kangesti
need	ned
leht	lehed
ja	ja
siis	siis
kohe	kõhe
olema	õl'i
lootus	`loottus
otsas	õtsas
et	et
ei	ei
saama	saa
need	neist
miski	midagi
mina	maa
ütlema	`ütlen
et	et
ära	ära
sina	saa
kisendama	kisenda
palju	pal'lu
et	et
vaatama	`vaattab
jumal	jumal
olema	onn
armuline	armuline
ja	ja
rikas	rikkas
heldus	`eldusest
tema	täma
võima	võib
parandama	parandada
kõik	kõik
veel	viel
ja	ja
sina	sa
võima	võid
saama	`saada
saak	`saakki
ega	ega
meie	me
ilma	ilma
ei	eij
olema	õle
ka	kaa
jääma	jäänd
meie	me
olema	õleme
ikka	ikke
sealt	sialt
saama	sand
kopikas	koppikkad
jah	jahh
ja	ja
ütlema	`ütleme
et	et
kõik	kõik
see	se
vili	vil'i
olema	on
ilus	ilus
ja	ja
kasvama	kasvab
hästi	iast
ja	ja
siin	siin
olema	on
liivane	liivane
ja	ja
ära	ära
põlema	põlend
väli	väl'i
aga	aga
tänavu	tänavade
viima	`viedi
siit	siit
rukki+vihk	`rukki+vihk
viima	`viedi
näitus	`näittusele
siis	siis
tulema	tuleb
öösel	`üöse
täna	täna
nemad	nad
lõikama	`leikkavad
ju	juu
et	et
ega	ega
see	sest
väike	`veiksest
väli	väl'jast
ei	ei
saama	saa
siis	s
terve	`terve
küla	külale
ega	ega
rahvas	`rahvale
aga	aga
aga	aga
see+ki	`siegi
väike	`veikke
asi	as'i
olema	on
ikka	ikke
kosuma	kõsnd
tema	ta
olema	on
pulber	`pulbrit
sinna	`sinna
panema	pannud
ja	ja
väetis	`väettist
kõik	`kõikke
et	t
et	et
rukis	rukkis
olema	on
kosuma	kõsnd
teie	tee
nägema	näette
küll	küll
kui	kui
teie	te
minema	lähte
läbi	läbi
siin	siin
rukis	`rukkil
olema	on
ikka	`ikke
pea	piad
otsas	õtsas
pikk	pikkad
niske	`neskesed
noh	nohh
eks	eks
sealt	sialt
ikka	ikke
tera	teri
saama	saa
ka	kaa
ja	ja
ega	ega
sina	sa
see	see
väike	`veikse
maa	maa
pealt	pialt
ei	ei
saama	saa
siis	s
palju	pal'lu
aga	aga
kõik	kõik
need	need
vili	vil'jad
mis	miss
Naavski	Naavski
olema	on
tegema	tehnd
kõik	kõik
olema	on
ilus	ilusad
ja	ja
tema	täma
korraldama	korraldab
ja	ja
käima	käib
vaatama	`vaattab
kui	kuij
ei	eij
olema	õle
kitkuma	kitkuttud
puhas	`puhtast
siis	siis
ei	ei
saama	saa
ka	ka
see	sest
keegi	kedagi
ei	ei
saama	saa
see	sest
kurk	kur'gist
kui	kui
rohi	rohi
olema	on
üle	üle
minema	läheb
sina	sa
kiskuma	kisu
kõik	kõige
see	selle
muld	mullaga
üles	ülesse
siis	siis
ei	ei
saama	saa
see	sest
taim	taemest
ka	koa
keegi	kedagi
aga	a
Navski	Navski
ei	ei
lubama	luba
see	seda
siis	siis
lubama	lubab
karistama	karistatta
aga	aga
tema	ta
olema	põle
karistama	karistand
keegi	kedagi
veel	viel
jaa	jaa
jaa	jaa
kõik	`kõikke
olema	on
porgand	por'gandid
kaalikas	kaal'ikkid
kapsas	`kapsaid
ja	ja
isegi	isegi
need	neid
vili	`vil'jasid
mis	miss
Vene+maa	Vene+maal
pidama	piettasse
teadma	tiad
need	nied
kõik	kõik
noh	nohh
mina	ma
ei	ij
oskama	`õska
mitte	`mitte
rääkima	`riakki
mis	mis
need	ned
olema	onn
mais	mais
jaa	jaa
see	sie
olema	onn
nägema	näed
paistma	paistab
sealt	sialt
kaugelt	`kaugelt
nägema	nääd
sealt	sialt
põõsas	põõsaste
takast	takkast
väli	väl'i
mais	`mais'i
olema	on
ja	ja
meie	mee
ei	i
teadma	tia
mis	miss
meie	me
see	sest
tegema	teeme
võib+olla	võib+õla
leib	leiva
hulka	`ulkka
panema	pannasse
see	sie
mais	mais
noh	nohh
valge	`valge
tema	ta
olema	onn
ja	ja
tema	tämast
võima	võib
püül	`püüli
ka	kaa
tegema	`tehta
ega	ega
ega	ega
meie	mee
ei	ei
teadma	tia
mis	miss
mis	miss
asi	as'jast
see	sie
püül	püül
olema	onn
püül	püül
olema	on
püül	püül
ja	ja
saama	sai
olema	on
hea	ia
ja	ja
aga	aga
seal	sial
kasvama	kasvab
aga	a
meie	meil
olema	on
kehv	kehv
maa	maa
ega	ega
tema	ta
siin	siin
hästi	iast
kasvama	`kasva
ei	ei
tahtma	taha
aga	a
Naask	Naaskil
olema	on
ikka	ikke
kasvama	kasvand
tänavu	tänade
enne	ennemast
olema	põle
saama	saand
ka	kaa
nüüd	nüüd
olema	on
ju	juo
neljas	neljas
aasta	`aasta
tema	ta
olema	on
neli	nel'i
aasta	`aastat
siin	siin
teenima	`tienind
aga	aga
tema	tämal
olema	on
hea	ia
nupp	nupp
tema	täma
ajama	aeab
see	selle
asi	asjaga
igat+pidi	iga+pid'i
välja	`väl'ja
tema	täma
olema	on
nii+sama	nii+sama
kui	ku
teie	teije
nüüd	nüd
käima	käitte
nägema	näette
küll	küll
kus	kuss
olema	on
hea	ia
maa	maa
ehk	ehk
ehk	ehk
kus	kuss
olema	on
halb	alb
maa	maa
see	sie
olema	onn
järv	jär've
vesi	ves'i
järv	jär've
vesi	ves'i
olema	on
siin	siin
meie	meil
teisel+pool	tõisel+puol
tee	tied
ja	ja
siin	siin
all+pool	all+bool
siis	sis
olema	on
niske	`neskesed
vee+auk	vee+augud
ja	ja
no	no
siit	siit
kartuli+põld	karttuli+põllust
see	sie
olema	on
kaua	kauva
aeg	`aega
olema	on
vesi	vett
täis	täis
niske	`niske
loim	loim
noh	nohh
tükati	tükkat'ti
olema	on
madal	madal
tükati	tükkat'ti
olema	on
kõrge	`kõrge
aga	aga
vili	vil'i
olema	on
ilus	ilus
vili	vil'i
olema	on
ikka	ikka
hea	ia
pidama	piab
ütlema	`ütlema
meie	meil
olema	on
tema	ta
küll	küll
hea	ia
kas	kass
kõik	kõigil
küla	külal
hea	ia
olema	onn
või	vai
ei	eij
olema	õle
aga	a
mina	maa
pidama	pian
kiitma	`kiitma
kohe	kõhe
et	et
tema	ta
olema	onn
hea	ia
ja	ja
puhas	puhas
üks+ki	`ühtki
rohi	rohu
iva	iva
ja	ja
ega	ega
taim	taime
ei	eij
olema	õle
ja	ja
hein	aena
olema	põle
üks+ki	`ühtki
see	seda
vääriline	väärilist
pidama	pidand
tema	täma
olema	on
ise	ise
vara	vara
üleval	ülevel
ja	ja
mina	mina
olema	õl'in
ka	kaa
vara	vara
noh	nohh
eks	eks
see	see
elu	elu
päev	päävad
olema	õle
juba	juba
elama	elattud
ega	ega
nemad	nad
enam	enam
teadma	tiab
mis	miss
elama	elada
ei	eij
olema	õle
poeg	pojal
olema	on
sedasi	sedas'i
et	et
e	e
noh	nohh
kui	kui
teie	te
olema	olette
kuulma	kuulnd
vähi+haigus	vähi+`aigus
oh	ohh
jumal	jumal
teadma	tiab
kust	kust
see	see
nimi	nimi
olema	on
välja	`väl'ja
võtma	`võettud
et	et
see	sell
kes	kess
e	e
kauaks	kauvast
jätma	jättab
see	selle
ära	ära
see	sellele
ei	ei
aitama	`aitta
enam	enam
arst	ar'st
ei	ei
keski	`keski
tema	täma
olema	onn
ju	ju
kaugele	`kaugele
minema	lähnud
ja	ja
tema	täma
olema	on
kurb	kurb
tema	ta
ei	i
tahtma	tahaks
surema	`surda
tahtma	tahaks
elama	elada
ja	ja
ja	ja
tema	täma
noomima	noomib
veel	veel
arst	`ar'sti
tema	ta
ütlema	`ütleb
et	et
teie	te
lubama	lubas'itte
oma	oma
pea	pia
jätma	`jätta
ja	jaa
kui	kui
m	m
nagu	nagu
tema	täma
olema	õl'i
arg	arg
no	no
ütlema	`ütle
kui	kui
sina	sa
nuga	`noaga
oma	oma
kallale	kallale
laskma	lased
tulema	`tulla
siis	siis
ju	ju
mõtlema	`mõtled
et	et
mina	ma
täna	täna
elama	elan
ega	ega
mina	maa
kas	kass
enam	enam
homme	`omme
elama	elan
aga	aga
tema	ta
lubama	lubas
see	seda
et	et
tegema	`tehka
mis	miss
tahtma	tahte
mina	mull
olema	on
valu	valud
ja	ja
mina	ma
ei	i
jõudma	jõvva
enam	enam
kannatama	kannattatta
ka	ka
aga	aga
kannatus	kannattus
ei	ei
ei	ei
lõppema	lõppe
enne	`enne
lõppema	lõppeb
tema	täma
ikka	ikke
tema	taa
tulema	tuleb
kodu	kodu
tahtma	tahab
kodu	kodu
nägema	näha
ja	ja
kui	kui
tema	ta
kodu	kodu
saama	saab
siis	sis
ruttu	`ruttu
jälle	`jälle
et	et
tema	ta
sinna	`sinna
tagasi	tagas'i
minema	läheb
nemad	nämad
seal	sial
süst	`sus'tide
abil	abil
pidama	`piavad
tema	teda
oi	oi
küll	küll
see	see
olema	on
vilets	vilets
küll	küll
see	se
olema	on
vilets	vilets
see	se
asi	as'i
mina	maa
oma	omas
mh	mh
nh	nh
noh	nohh
iga	ias
mina	maa
kui	kui
mina	ma
kodus	kodu
seal	sial
olema	õl'in
hein	eina
ajal	aal
hommikul	ommukku
vara	vara
porine	porise
mina	maa
pealt	pialt
siis	siis
roinama	`roinas
niske	`neskene
nagu	nagu
üks	üks
nii	nii
lai	lai
ussi+kene	us'sikkestest
koos	koos
ja	ja
siis	siiss
e	e
kõik	kõik
niske	`neskesed
must	mustad
pea	piad
olema	õl'id
otsas	õtsas
ja	jaq
siis	siss
sealt	siält
tee	tie
pealt	piält
no	no
teisele+poole	teisele+puole
see	seda
maa	maad
siis	siis
sookas	`sookkas
mina	maa
kus	kos
ja	jaq
ja	ja
see	sie
olema	õl'i
koosnema	`koosnend
